id	effectiveTime	active	moduleId	refsetId	referencedComponentId	mapTarget
a19de392-883a-fc43-02d0-cf565adf7152	20200915	1	11000172109	631000172103	10114470	1085006
fceee9c3-0761-87f0-2f7d-6a33fead6beb	20200915	1	11000172109	631000172103	20000007	254701007
8bd65653-3192-82cf-f01b-80fe44e7c433	20200915	1	11000172109	631000172103	10026703	1475003
373bd734-ba7e-9446-a97b-dbeaf0c89dfa	20200915	1	11000172109	631000172103	10041070	1475003
937cef8e-eeca-5e2b-a548-362de77dd2fe	20200915	1	11000172109	631000172103	10041071	1475003
c41b66f2-6808-5904-a92b-1ef551ba61e8	20200915	1	11000172109	631000172103	30001058	1855002
f7f042f7-6a56-456c-0f4e-6a6a2815ae02	20200915	1	11000172109	631000172103	15004804	161898004
35c94124-8840-83a3-1fd2-20f985a08ffd	20200915	1	11000172109	631000172103	10062229	3218000
d5e298b2-f871-03c2-3137-037c2a1ca8d5	20200915	1	11000172109	631000172103	10009934	4473006
cc2f9dab-dc31-b9d8-f0a7-dc99c7c2f75b	20200915	1	11000172109	631000172103	10039294	4754008
6c529ea3-3188-42ea-fbc2-3c9b74c6dd2c	20200915	1	11000172109	631000172103	10043458	49765009
7951e3ae-cca3-c8d7-d5d2-e439dc567660	20200915	1	11000172109	631000172103	10048713	5132005
37e4ecb9-c222-68b9-5754-118e766577fe	20200915	1	11000172109	631000172103	10016409	5441008
5481d990-b6a8-d7bf-ff5e-7966493188a0	20200915	1	11000172109	631000172103	10078900	6020002
f2f4cbc4-3109-fe3b-ccf9-2083d6212a51	20200915	1	11000172109	631000172103	10106181	6020002
7e9f16cb-f18b-7e92-629a-5cef86e4da83	20200915	1	11000172109	631000172103	20000056	6020002
9ac264e7-ed25-68cc-da98-3305c0f990f6	20200915	1	11000172109	631000172103	10049281	7093002
9dee0c56-9891-564c-fb41-280ed43caa34	20200915	1	11000172109	631000172103	10031146	7200002
80e2e12c-d12f-2f4b-a9dd-4d489c506e93	20200915	1	11000172109	631000172103	10030247	8009008
93f9ea33-0f8c-9cb8-2bef-2d722cd14829	20200915	1	11000172109	631000172103	10084253	9014002
49fea418-00b1-c608-6864-27d8f4639646	20200915	1	11000172109	631000172103	10001382	9414007
06b97089-626c-d3a5-1850-538c5b7a7361	20200915	1	11000172109	631000172103	10038392	9414007
206e765a-57e0-1399-bff7-42e5e54f6f42	20200915	1	11000172109	631000172103	10029930	11314008
8970216d-49f5-9ab8-1135-fe4831dae0bc	20200915	1	11000172109	631000172103	15004939	11441004
e7e97186-db4a-4cfa-bcf0-d72b3badd2aa	20200915	1	11000172109	631000172103	10109442	11687002
d770cb3a-809e-3f92-bcf8-63a7cf67cee3	20200915	1	11000172109	631000172103	10033709	13600006
fd1ab4ba-357a-c6a3-297b-8e69ba49d396	20200915	1	11000172109	631000172103	10012668	13746004
6c6a2079-7bdb-24c4-07d6-728812b2df81	20200915	1	11000172109	631000172103	10033328	13791008
5f5f0d8a-4848-9f16-b2e2-f95c15d946be	20200915	1	11000172109	631000172103	10005112	14302001
b7633245-935d-6032-3ab9-7af71c7c94bc	20200915	1	11000172109	631000172103	10023265	14560005
96184ca7-1317-4e0d-c54b-40e2674fc952	20200915	1	11000172109	631000172103	10025435	14560005
d2a2d578-4220-03e3-de1c-a5b23e7c27c8	20200915	1	11000172109	631000172103	10042065	14560005
10b48f9b-3257-2cdc-558c-d3f94b9839f1	20200915	1	11000172109	631000172103	15004142	16386004
27c3f95b-aa67-1b51-7de5-801b2b41b64a	20200915	1	11000172109	631000172103	10060657	17369002
109146f4-fa30-4120-76c9-698383931889	20200915	1	11000172109	631000172103	10090752	18615009
34e1a70a-0e38-1804-eedb-12fd73da40b9	20200915	1	11000172109	631000172103	10108925	18615009
8962dcad-8807-6107-5c8b-b04641a388e3	20200915	1	11000172109	631000172103	10080184	20010003
510d58df-0974-ef9e-fc8d-ccc1deab9ca0	20200915	1	11000172109	631000172103	10056017	20848007
ab5b619c-98a8-81fa-9c84-f9243ca080e9	20200915	1	11000172109	631000172103	30000036	21134002
ba10af7b-5dd2-594d-ae3e-178dcb778605	20200915	1	11000172109	631000172103	30000001	22253000
90915659-0f4b-df57-d91a-fdda1f3b6592	20200915	1	11000172109	631000172103	10111438	23502006
c33e6c9f-c6e9-87ba-7a3f-ad394e8714ac	20200915	1	11000172109	631000172103	10009583	24079001
10304814-dd0f-6ae1-e6c0-369421a8c568	20200915	1	11000172109	631000172103	10041859	25064002
edf56161-c966-58a1-47be-9fa7a6413e48	20200915	1	11000172109	631000172103	10048718	394726009
a6f963cd-86c0-cb85-43cd-a99c3c724cae	20200915	1	11000172109	631000172103	10089488	394726009
719d5cfe-b419-dd9a-89c4-6e249c4510f6	20200915	1	11000172109	631000172103	10089800	394726009
db66cec4-b47b-29ef-59b1-e9c78bb52051	20200915	1	11000172109	631000172103	10108042	394726009
00cf928d-b6fc-6beb-0778-5d04fb13a9b0	20200915	1	11000172109	631000172103	10099202	26079004
eeae6ad5-708d-f3ad-22a9-e23ec36f101a	20200915	1	11000172109	631000172103	15005282	26544005
0e21ef8a-95b5-ef17-1e61-c0048877a11b	20200915	1	11000172109	631000172103	10082467	28442001
bef928a4-753f-7bcb-2ae9-16fd2167486f	20200915	1	11000172109	631000172103	10023839	28944009
8e3f3bb2-44d8-e369-5a84-0ccd65c53f41	20200915	1	11000172109	631000172103	10083987	29738008
1777c729-a247-fb74-adb6-e56a47a27f50	20200915	1	11000172109	631000172103	10080659	29857009
2fd4afdd-1763-216c-6674-88d94f94e248	20200915	1	11000172109	631000172103	10080706	29857009
d9e67a0e-3f7a-ad72-820b-c7e9065332f5	20200915	1	11000172109	631000172103	10061818	30085007
b9f726a7-de32-dd7a-dde7-0918dfba1ed2	20200915	1	11000172109	631000172103	10088373	30242009
ab2696af-fb5c-47af-d7a3-5fcbaab4b0de	20200915	1	11000172109	631000172103	10103081	30800001
5a639b7b-f390-970f-710f-240428ae9c87	20200915	1	11000172109	631000172103	15005117	31908003
f48a6dfa-96af-456f-a6a0-351483936e43	20200915	1	11000172109	631000172103	10000788	31928004
78f8d2c9-25c0-a71e-cf21-5166d6502859	20200915	1	11000172109	631000172103	10011095	32914008
091cd0ad-d901-70f4-e2a2-bdf180816451	20200915	1	11000172109	631000172103	10105584	34014006
c3d56436-2c21-cca3-9e04-e4c2fd97404f	20200915	1	11000172109	631000172103	15003748	34014006
e45bf57a-7429-c7c2-202c-d31b8dcccf3a	20200915	1	11000172109	631000172103	30000054	34014006
9b7fcdca-4184-f8a6-10b3-4a5ee3e04006	20200915	1	11000172109	631000172103	30001626	34363003
46025316-bd03-04f8-8661-63d4437111d4	20200915	1	11000172109	631000172103	10040265	34436003
3b6b1824-c09c-b275-ce9a-2f311ea27a5e	20200915	1	11000172109	631000172103	10080857	34630004
b91e7532-91b5-6801-3967-4ce09b43640b	20200915	1	11000172109	631000172103	10093225	35253001
d9549551-ec8c-13b4-5a12-49300641daf5	20200915	1	11000172109	631000172103	10025204	35489007
f4b6485a-827c-c54e-d68b-69dcb39a2e14	20200915	1	11000172109	631000172103	20000071	35635000
28550e25-5fc6-e67b-87b6-0f594c88469b	20200915	1	11000172109	631000172103	30001608	36521000
5a94530b-3722-27c2-bbd2-9af404d0ed12	20200915	1	11000172109	631000172103	10085260	36689008
513f5cd0-b3d5-33c5-0202-c80eeecc5327	20200915	1	11000172109	631000172103	10086281	37031009
c5ffd719-0c8e-05b3-735d-4c0581ba4919	20200915	1	11000172109	631000172103	10016353	37344009
6540b92a-7276-915c-8960-5931f8e592a5	20200915	1	11000172109	631000172103	10060375	37796009
b47cfde4-f622-dff9-090e-1d732444f1b2	20200915	1	11000172109	631000172103	30001596	38343000
1d22538c-f974-75c3-456c-c196fba97700	20200915	1	11000172109	631000172103	10023755	38822007
f47164db-1b8a-38c5-616b-ce5696547cb5	20200915	1	11000172109	631000172103	10103248	38907003
21eb23c1-7328-2a28-fc56-6a922fef00a0	20200915	1	11000172109	631000172103	15005246	38907003
536499f9-7c33-cea8-a0c5-72bf8a53fbdc	20200915	1	11000172109	631000172103	10090876	39898005
01b8aac2-c1e0-dc7c-f9c2-8fe17be09cb8	20200915	1	11000172109	631000172103	10004890	40178009
d520424a-8038-b467-0269-28c695ded6bc	20200915	1	11000172109	631000172103	10105077	40917007
b7a76180-baf5-e7da-6d74-7610142d100b	20200915	1	11000172109	631000172103	10006289	41291007
c88a8383-7f0d-56d0-ddb7-d6804fdfa6d8	20200915	1	11000172109	631000172103	10082330	42345000
b3d49cce-5a99-0c3d-22a9-0375ea2f468c	20200915	1	11000172109	631000172103	10063085	42984000
b993f52a-c605-7c70-b2eb-62e8ee88e453	20200915	1	11000172109	631000172103	10063087	42984000
8ca0c35d-870c-5547-022e-f301409aa250	20200915	1	11000172109	631000172103	10030432	43077002
7f8efd9e-1fca-cb01-4030-fd973a5fdc54	20200915	1	11000172109	631000172103	10028408	43116000
ebb11711-3459-6591-5644-4c3f980ee16b	20200915	1	11000172109	631000172103	10028778	44001008
088e37d9-b336-6284-9ac7-e2bdaf889d52	20200915	1	11000172109	631000172103	10082987	44001008
8774665c-f45f-ec5f-d982-21146bfd6924	20200915	1	11000172109	631000172103	10030901	44653001
b91b25a6-b00a-b5c5-4ecb-0217275cf149	20200915	1	11000172109	631000172103	10085259	45816000
b6abde4c-1b76-eefe-5da5-dd1f67a365a3	20200915	1	11000172109	631000172103	10044958	48277006
044180d4-5ad0-b890-d61b-2f189b93dbba	20200915	1	11000172109	631000172103	10006839	48694002
c9607e74-e1a7-121a-0a7c-deea2a033138	20200915	1	11000172109	631000172103	10028172	49650001
ac702bfa-ec4c-f11b-687d-bacd06bf680d	20200915	1	11000172109	631000172103	10105613	49882001
8ddc929d-53b1-d782-2b2d-ca1e95f97d41	20200915	1	11000172109	631000172103	30000052	49882001
9b787c4d-c5ef-84f6-b0e5-189444908f90	20200915	1	11000172109	631000172103	10025383	50563003
b386bed9-a3dd-f788-3771-23dbf3d075ba	20200915	1	11000172109	631000172103	10087469	50563003
35cc23e3-7b4c-7614-4786-11372dcd0caf	20200915	1	11000172109	631000172103	10077302	52613005
9f9aeca2-efb5-d5b2-a9a3-f3471aca652d	20200915	1	11000172109	631000172103	30000013	52613005
e85a9998-eb0d-b41c-5007-f133bf868fd7	20200915	1	11000172109	631000172103	10113585	52643007
5829a10d-26f5-1140-3f3c-81c96f9fdaa9	20200915	1	11000172109	631000172103	10106900	53277000
17562e4c-248a-0e17-dde7-45db3d10d698	20200915	1	11000172109	631000172103	10058014	53430007
fb4955a7-d48a-6079-59fa-0ca7aa1e03d4	20200915	1	11000172109	631000172103	10033715	53651004
25842dd1-3bb1-48a9-b07d-a5a2140ae812	20200915	1	11000172109	631000172103	10027849	55640002
71ef48f9-316b-0851-bd1e-324507144e58	20200915	1	11000172109	631000172103	10004901	56317004
9d393e4f-87eb-edc4-6eaa-caf013297e17	20200915	1	11000172109	631000172103	10080869	56454009
064287b9-3a25-ee04-45ac-ef9984d3ecb6	20200915	1	11000172109	631000172103	10105784	56727007
89138046-a940-f262-bab4-e13e481a3747	20200915	1	11000172109	631000172103	10104810	57019003
644bc371-6cd6-e9ee-c0f4-c5c672156f2b	20200915	1	11000172109	631000172103	10108037	57019003
ea2a082a-7301-59b2-b2de-eb31a61df7ff	20200915	1	11000172109	631000172103	10017216	57406009
6cc7d725-7722-b324-2baf-f17558b5e588	20200915	1	11000172109	631000172103	10015830	58535001
19a42f19-26a4-d5ee-0679-7f582b8567f5	20200915	1	11000172109	631000172103	15000670	58535001
974fa62d-6939-0654-9a63-d8252c4728f5	20200915	1	11000172109	631000172103	10030959	58759008
dcdddfde-411d-2354-0d86-d8eed20e66d5	20200915	1	11000172109	631000172103	10027968	59770006
4c774a45-199a-8e02-8113-cb2771616c80	20200915	1	11000172109	631000172103	20000256	62014003
69b84d39-1c4f-e1d0-ab03-1daad98e28a5	20200915	1	11000172109	631000172103	10096360	62305002
d0d6995c-a740-754c-0d2c-df40fd323a6d	20200915	1	11000172109	631000172103	10122631	62415009
a88ce048-ac97-26f4-5654-bea56d77cfc2	20200915	1	11000172109	631000172103	10083148	62507009
529031d3-d978-976c-6534-c3d43ec19a37	20200915	1	11000172109	631000172103	10097842	62507009
131e35d2-8ea1-7c26-c39a-7b1b721f2c6d	20200915	1	11000172109	631000172103	10106864	63144007
abb09776-53d3-b395-4d75-eeee7130a46f	20200915	1	11000172109	631000172103	10000746	64576003
ecdc49eb-0580-cd93-74e3-9b8813cb1e0d	20200915	1	11000172109	631000172103	10060196	64996003
7c372ccf-d76a-0bd1-aad2-f30a1544ea91	20200915	1	11000172109	631000172103	30000012	65124004
